name,category,original_price,discounted_price,discount_percentage,platform
Pond's Men Lightning Oil Clear Sabun Muka 100G,Pembersih,42.900,42.900,0%,www.klikindomaret.com
Pond's Age Miracle Day Cream 20G,Krim,78.800,78.800,0%,www.klikindomaret.com
Citra Sakura Fair Uv Powder Cream 40G,Krim,55.600,55.600,0%,www.klikindomaret.com
Glow & Lovely 2 In 1 Powder Cream 20G,Krim,28.300,28.300,0%,www.klikindomaret.com
Pond's Men White Boost Face Scrub 50G,Pembersih,32.200,32.200,0%,www.klikindomaret.com
Glow & Lovely Multivitamin Facial Foam 50g,Pembersih,19.400,19.400,0%,www.klikindomaret.com
Ponds Pelembab Wajah Age Miracle Hexyl-Retinol Day Cream 10G,Wajah,41.300,41.300,0%,www.klikindomaret.com
Ponds Pelembap Wajah Age Miracle Hexyl-Retinol Night Cream 10G,Wajah,45.800,45.800,0%,www.klikindomaret.com
Ponds Pelembab Wajah Day Cream Normal Skin Niasorcinol 20G,Krim,31.900,31.900,0%,www.klikindomaret.com
Ponds Pembersih Wajah Bright Beauty Niasorcinol 100G,Wajah,36.300,36.300,0%,www.klikindomaret.com
Ponds Pembersih Wajah Charcoal 50G,Pembersih,26.000,26.000,0%,www.klikindomaret.com
Ponds Pembersih Wajah Bright Beauty Niasorcinol 50G,Pembersih,25.100,25.100,0%,www.klikindomaret.com
Glow & Lovely Multivitamin Facial Foam 100g,Wajah,30.900,30.900,0%,www.klikindomaret.com
Ponds Pembersih Wajah Clear Solution/Pore Clear 100G,Wajah,45.300,45.300,0%,www.klikindomaret.com
Ponds Pembersih Wajah Facial Foam Pure Bright/Charcoal 100g,Pembersih,38.900,38.900,0%,www.klikindomaret.com
Glow & Lovely Multivitamin Cream 46g,Wajah,43.200,43.200,0%,www.klikindomaret.com
Vaseline Men Face Wash Healthy White 100G,Pembersih,40.500,40.500,0%,www.klikindomaret.com
Pond's Men White Boost Face Scrub 100G,Pembersih,42.900,42.900,0%,www.klikindomaret.com
Glow & Lovely Multivitamin Cream 23g,Wajah,23.400,23.400,0%,www.klikindomaret.com
Citra Pelembab Wajah Hazeline Pearly White Uv Cream 40g,Wajah,55.600,55.600,0%,www.klikindomaret.com
Pond's Men Acne Clear Oil Control Face Wash 100G,Pembersih,42.900,42.900,0%,www.klikindomaret.com
Close Up Pasta Gigi Fresh Multivitamin 160g,Pasta Gigi,Rp 23.400,17.200,26%,www.klikindomaret.com
Pepsodent Pasta Gigi Halal Siwak & Habbatussauda 150+40g,Pasta Gigi,Rp 22.900,17.900,22%,www.klikindomaret.com
Pepsodent Pasta Gigi Herbal 75+25G,Pasta Gigi,12.800,12.800,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Herbal 120+30G,Pasta Gigi,17.800,17.800,0%,www.klikindomaret.com
Pepsodent Sikat Gigi Expert Clean 3'S Soft,Sikat Gigi,Rp 24.900,18.700,25%,www.klikindomaret.com
Pepsodent Sikat Gigi Siwak 2'S Soft,Sikat Gigi,Rp 22.700,17.700,22%,www.klikindomaret.com
Pepsodent Sikat Gigi Brilian 3'S Soft,Sikat Gigi,Rp 10.400,8.100,22%,www.klikindomaret.com
Pepsodent Pasta Gigi White 120+30G,Pasta Gigi,11.200,11.200,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Multi Protection Complete 8 150G,Pasta Gigi,19.700,19.700,0%,www.klikindomaret.com
Pepsodent Kids Patrick Pasta + Sikat Gigi Strawberry 45G,Pasta Gigi,14.900,14.900,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Complete Siwak 150+25G,Pasta Gigi,22.900,22.900,0%,www.klikindomaret.com
Pepsodent Travel Kit,Sikat Gigi,19.700,19.700,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Action 123 Charcoal 160G,Pasta Gigi,24.600,24.600,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Kids Strawberry 45G,Pasta & Sikat Gigi Anak,7.800,7.800,0%,www.klikindomaret.com
Close Up Pasta Gigi White Attraction 100g,Pasta Gigi,Rp 24.300,19.300,21%,www.klikindomaret.com
Pepsodent Pasta Gigi White Prm Valuepack 2X190g,Pasta Gigi,26.200,26.200,0%,www.klikindomaret.com
Pepsodent Sikat Gigi Silver Charcoal Soft,Sikat Gigi,20.600,20.600,0%,www.klikindomaret.com
Close Up Pasta Gigi Deep Action Menthol Fresh 110g,Pasta Gigi,Rp 17.200,13.900,19%,www.klikindomaret.com
Pepsodent Pasta Gigi White 225G,Pasta Gigi,Rp 18.200,12.500,31%,www.klikindomaret.com
Pepsodent Sensitive Expert Pasta Gigi Fresh 100G,Pasta Gigi,Rp 39.900,29.500,26%,www.klikindomaret.com
Pepsodent Sikat Gigi Double Care Sensitive Mp3 Soft,Sikat Gigi,35.400,35.400,0%,www.klikindomaret.com
Pepsodent Action 123 Pasta Gigi Herbal 190G,Pasta Gigi,22.900,22.900,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Center Fresh 160G,Pasta Gigi,Rp 26.700,20.500,23%,www.klikindomaret.com
Pepsodent Pasta Gigi Action 123 + Whitening 190g,Pasta Gigi,26.200,26.200,0%,www.klikindomaret.com
Pepsodent Pencegah Gigi Berlubang Pasta Gigi 120G,Pasta Gigi,10.800,10.800,0%,www.klikindomaret.com
Pepsodent Pencegah Gigi Berlubang Pasta Gigi 75G,Pasta Gigi,6.000,6.000,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Sensitive Expert Original 100G,Pasta Gigi Sensitif,Rp 39.900,29.500,26%,www.klikindomaret.com
Pepsodent Action 123 Pasta Gigi Original 190G,Pasta Gigi,25.000,25.000,0%,www.klikindomaret.com
Close Up Pasta Gigi Icy White 160g,Pasta Gigi,31.600,31.600,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Whitening 75G,Pasta Gigi,11.100,11.100,0%,www.klikindomaret.com
Pepsodent Sikat Gigi Double Care Sensitive Single,Sikat Gigi,17.500,17.500,0%,www.klikindomaret.com
Pepsodent Pasta Gigi Fresh Cool Mint 190G,Pasta Gigi,Rp 17.800,14.900,16%,www.klikindomaret.com
Pepsodent Pasta Gigi Sensitive Expert Whitening 100G,Pasta Gigi,Rp 39.900,29.500,26%,www.klikindomaret.com
Pepsodent Pencegah Gigi Berlubang Pasta Gigi 190G,Pasta Gigi,Rp 14.900,13.100,12%,www.klikindomaret.com
Close Up Pasta Gigi Gel Green Menthol Fresh 65g,Pasta Gigi,8.200,8.200,0%,www.klikindomaret.com
Close Up Pasta Gigi Gel Green Ever Fresh 160G,Pasta Gigi,Rp 22.300,16.900,24%,www.klikindomaret.com
Ponds Men Sunscreen Gel Uv Protect Spf35 Pa+++ 30G,Wajah,41.900,41.900,0%,www.klikindomaret.com
Ponds Sun Serum Uv Protect Spf50 Pa+++ Uva Uvb 30G,Wajah,125.500,125.500,0%,www.klikindomaret.com
Vaseline Body Lotion Gluta-Hya Serum Dewy Radiance 200mL,Lotion,59.000,59.000,0%,www.klikindomaret.com
Vaseline Body Lotion Gluta-Hya Serum Flawless Bright 200mL,Lotion,59.000,59.000,0%,www.klikindomaret.com
Dove Micellar Shampoo Hair Boost 430mL,Shampoo,74.100,74.100,0%,www.klikindomaret.com
Dove Micellar Shampoo Deep Cleanse 430mL,Shampoo,74.100,74.100,0%,www.klikindomaret.com
Dove Super Conditioner Intensive Hair Fall Treat 170mL,Kondisioner dan Masker,32.100,32.100,0%,www.klikindomaret.com
Molto Pelicin &Pewangi Pakaian Trika Flower Shower 400Ml,Perapi Pakaian,10.200,10.200,0%,www.klikindomaret.com
Molto Pelicin &Pewangi Pakaian Trika Floral Bliss 400Ml,Perapi Pakaian,10.200,10.200,0%,www.klikindomaret.com
Lux Body Wash Botanicals Soft Skin Soft Rose 825mL,Sabun Cair,Rp 45.900,29.900,35%,www.klikindomaret.com
Dove Serum Shampoo Total Hair Fall 680mL,Shampoo,87.000,87.000,0%,www.klikindomaret.com
Vaseline Lip Therapy Rosy Lips 7g,Bibir,40.300,40.300,0%,www.klikindomaret.com
Royco Bumbu Pelezat Serbaguna Ayam 460g,Garam & Bumbu,18.300,18.300,0%,www.klikindomaret.com
Sunsilk Shampoo Co-Creations Black Shine 680mL,Shampoo,80.400,80.400,0%,www.klikindomaret.com
Royco Bumbu Dasar Ayam Kuning 600g,Garam & Bumbu,42.000,42.000,0%,www.klikindomaret.com
Vaseline Body Lotion Healthy White Perfect 10 400ML,Lotion,80.500,80.500,0%,www.klikindomaret.com
Sunsilk Shampoo Soft & Smooth 170mL,Shampoo Perawatan,54.500,54.500,0%,www.klikindomaret.com
Sunsilk Shampoo Anti Dandruff Sehat & Kuat 160mL,Shampoo,27.500,27.500,0%,www.klikindomaret.com
Lifebuoy Shampoo Strong & Shiny 430mL,Shampoo Perawatan,53.800,53.800,0%,www.klikindomaret.com
Lifebuoy Shampoo Anti Ketombe Refresh N Cool 155mL,Shampoo,26.900,26.900,0%,www.klikindomaret.com
Dove Micellar Shampoo Hair Boost 430mL,Shampoo,74.100,74.100,0%,www.klikindomaret.com
Dove Micellar Shampoo Deep Cleanse 430mL,Shampoo,74.100,74.100,0%,www.klikindomaret.com
