name,category,original_price,discounted_price,discount_percentage,platform
Molto Pelembut dan Pewangi Parfum Boost Casablanca Lily 650mL Twinpack,Pewangi Pelembut Pakaian,Rp56.600,Rp44.300,22%,www.tokopedia.com
Molto Pelembut dan Pewangi Parfum Boost Japanese Peach 650mL,Pewangi Pelembut Pakaian,Rp28.300,Rp22.600,20%,www.tokopedia.com
Molto Pelembut dan Pewangi Parfum Boost Casablanca Lily 650mL,Pewangi Pelembut Pakaian,Rp28.300,Rp22.600,20%,www.tokopedia.com
Molto Pelembut dan Pewangi Parfum Boost Himalayan Honeysuckle 650mL,Conditioner,Rp28.300,Rp22.600,20%,www.tokopedia.com
LIFEBUOY Shampoo Anti Ketombe Refresh & Cool & Anti Gatal 310ML,Shampoo,Rp65.900,Rp41.200,37%,www.tokopedia.com
LIFEBUOY Shampoo Anti Ketombe Refresh & Cool & Anti Gatal 155ML,Shampoo,Rp37.900,Rp23.600,38%,www.tokopedia.com
Vaseline Healthy Bright​ Gluta Hyaluron&Peptide Serum Overnight 330ml,Serum Wajah,Rp93.200,Rp85.600,8%,www.tokopedia.com
Vaseline Healthy Bright​ Gluta & Peptide Serum Lotion Overnight 200ml,Body Lotion,Rp71.700,Rp62.500,13%,www.tokopedia.com
Ponds Age Miracle Retinol Peptide & Collagen Renew Essence 110Ml,Serum Wajah,Rp221.100,Rp191.600,13%,www.tokopedia.com
Ponds Age Miracle Hyaluronic&Niacinamide Ultimate Hydra Essence 110Ml,Serum Wajah,Rp221.100,Rp191.600,13%,www.tokopedia.com
Citra Pearly Glow Facial Foam 50g,Cleanser Wajah,Rp58.100,Rp22.400,61%,www.tokopedia.com
Dove Shampoo Nutritive Solutions Total Hair Fall Treatment 70ml,Shampoo,Rp24.900,Rp15.600,37%,www.tokopedia.com
Rexona Women Antiperspirant Deo Hijab Peach & Mint Cool Roll On 45ml​,Deodorant,Rp35.900,Rp24.400,32%,www.tokopedia.com
Buavita Mini Juice Jeruk 125ml,Jus,Rp12.500,Rp4.500,64%,www.tokopedia.com
Citra Pearly Glow Facial Foam 100g,Cleanser Wajah,Rp42.800,Rp31.300,27%,www.tokopedia.com
Lifebuoy Sabun Cair Sabun Mandi Antiseptik Total 10 825ml Isi 2,Sabun Mandi,Rp114.900,Rp56.600,51%,www.tokopedia.com
Simple Waterboost Hydrating Gel Cream 50ml,Krim Wajah,Rp118.900,Rp85.500,28%,www.tokopedia.com
Lifebuoy Shampoo Kuat & Berkilau 900ML,Shampoo,Rp76.900,Rp63.500,17%,www.tokopedia.com
Citra Avocado Honey Body Lotion Nourishing Glow 110Ml,Body Lotion,Rp46.000,Rp13.500,71%,www.tokopedia.com
Wipol Pembersih Lantai Karbol Lemon Refill 200Ml,Karbol,Rp17.800,Rp4.800,73%,www.tokopedia.com
Minyak Goreng 1L,Hadiah Custom,Rp10.000.000,Rp10.000.000,N/A,www.tokopedia.com
Royco Saus Tiram 135ml Free,Hadiah Custom,Rp10.000.000,Rp10.000.000,N/A,www.tokopedia.com
Kaos Royco,Hadiah Custom,Rp10.000.000,Rp10.000.000,N/A,www.tokopedia.com
Hair Comb Tresemme,Hadiah Custom,Rp10.000.000,Rp10.000.000,N/A,www.tokopedia.com
Lifebuoy Sabun Batang Total 10 110G,Sabun Mandi,Rp9.900,Rp6.400,35%,www.tokopedia.com
[NOT FOR SALE] Pepsodent Mouthwash Active Defense 150Ml free,Obat kumur dan spray mulut,Rp100.000,Rp100.000,N/A,www.tokopedia.com
Pepsodent Pasta Gigi Action 123 Herbal 100g,Pasta Gigi,Rp12.500,Rp8.600,31%,www.tokopedia.com
Pepsodent Nanosoft Clean Sikat Gigi Medium Multipack Isi 2,Sikat Gigi,Rp30.900,Rp19.700,36%,www.tokopedia.com
Handuk LBP,Hadiah Custom,Rp100.000,Rp100.000,N/A,www.tokopedia.com
Dove Sabun Mandi Cair GENTLE EXFOLIATING Nourishing Body Wash 550ml,Sabun Mandi,Rp132.900,Rp95.200,28%,www.tokopedia.com
Vaseline Lip Therapy Rosy Lips 4.8G,Lip Balm & Oil,Rp40.900,Rp28.900,29%,www.tokopedia.com
Camay Soap Bar Natural 125gr,Sabun Mandi,Rp12.900,Rp9.000,30%,www.tokopedia.com
Superpell Pembersih Lantai Korean Strawberry 100ml,Pembersih Toilet,Rp2.200,Rp1.700,23%,www.tokopedia.com
Superpell Pembersih Lantai Korean Strawberry 770ml,Pembersih Toilet,Rp16.800,Rp10.600,37%,www.tokopedia.com
Sunlight Sabun Cuci Piring Cair Refill Extra Korean Strawberry 650 mL,Sabun Cuci Piring,Rp15.000,Rp12.500,17%,www.tokopedia.com
Molto Perfume Boost Pelembut & Pewangi Pakaian Korean Strawberry 680ml,Pewangi Pelembut Pakaian,Rp34.900,Rp14.400,59%,www.tokopedia.com
Rinso Molto Deterjen Bubuk Korean Strawberry Powder 700g,Deterjen Laundry,Rp32.300,Rp16.600,49%,www.tokopedia.com
Rinso Molto Deterjen Cair Korean Strawberry Liquid 510ml,Deterjen Laundry,Rp16.600,Rp7.900,52%,www.tokopedia.com
Vaseline Hijab Multi-Purpose Skin & Hair Light Dry Oil 85ml Twinpack,Stretchmark Cream,Rp244.400,Rp167.200,32%,www.tokopedia.com
Vaseline Hijab Bright Refreshing Body Serum SPF 20 PA++ 180ml Twinpack,Body Lotion,Rp81.100,Rp64.100,21%,www.tokopedia.com
PEPSODENT SIKAT GIGI BRILIAN SIKAT GIGI LEMBUT ISI 3,Sikat Gigi,Rp13.900,Rp8.500,39%,www.tokopedia.com
PEPSODENT SIKAT GIGI BRILIAN SIKAT GIGI LEMBUT,Sikat Gigi,Rp4.900,Rp2.900,41%,www.tokopedia.com
Clear Shampoo Complete Soft Care 660ml,Shampoo,Rp143.900,Rp99.600,31%,www.tokopedia.com
SuperPell Pembersih Lantai Pel Lantai Harum&Wangi Baby Lavender 770mL,Pembersih Toilet,Rp18.900,Rp13.300,30%,www.tokopedia.com
Baby Dove Hair to Toe Wash Sensitive Moisture 591ml,Shampoo & Sabun Bayi,Rp213.900,Rp154.000,28%,www.tokopedia.com
Baby Dove Hair to Toe Wash Rich Moisture 591ml,Shampoo & Sabun Bayi,Rp185.900,Rp134.000,28%,www.tokopedia.com
"Baby Dove Rich Moisture Set (Hair to Toe Wash 2x200ml, Nourishing Body Lotion 200ml)",Shampoo & Sabun Bayi,Rp67.900,Rp49.000,28%,www.tokopedia.com
Baby Dove Hair to Toe Wash Rich Moisture 200ml,Shampoo & Sabun Bayi,Rp73.900,Rp53.000,28%,www.tokopedia.com
